,layer,pos,prob
0,0,0,0.017120428383350372
1,0,1,0.026620859280228615
2,0,2,0.030329644680023193
3,0,3,0.026831161230802536
4,0,4,0.024427350610494614
5,0,5,0.025438489392399788
6,0,6,0.02529354952275753
7,1,0,0.017142867669463158
8,1,1,0.022419068962335587
9,1,2,0.024459172040224075
10,1,3,0.026912497356534004
11,1,4,0.02410767786204815
12,1,5,0.02551151253283024
13,1,6,0.026517251506447792
14,2,0,0.017358312383294106
15,2,1,0.025207407772541046
16,2,2,0.027224790304899216
17,2,3,0.026042431592941284
18,2,4,0.024228164926171303
19,2,5,0.02563796378672123
20,2,6,0.026515237987041473
21,3,0,0.017639441415667534
22,3,1,0.024139344692230225
23,3,2,0.03059091977775097
24,3,3,0.0263043399900198
25,3,4,0.024224985390901566
26,3,5,0.025655187666416168
27,3,6,0.025788411498069763
28,4,0,0.017660710960626602
29,4,1,0.02389029785990715
30,4,2,0.03263126686215401
31,4,3,0.026646070182323456
32,4,4,0.02428964339196682
33,4,5,0.025666048750281334
34,4,6,0.025746826082468033
35,5,0,0.01766727678477764
36,5,1,0.024318214505910873
37,5,2,0.029224613681435585
38,5,3,0.02707214653491974
39,5,4,0.024217944592237473
40,5,5,0.025751855224370956
41,5,6,0.02529403567314148
42,6,0,0.023744389414787292
43,6,1,0.019055090844631195
44,6,2,0.028430260717868805
45,6,3,0.02640482969582081
46,6,4,0.024692807346582413
47,6,5,0.025663599371910095
48,6,6,0.026125788688659668
49,7,0,0.029728446155786514
50,7,1,0.010762246325612068
51,7,2,0.033240847289562225
52,7,3,0.021626079455018044
53,7,4,0.025007551535964012
54,7,5,0.025362320244312286
55,7,6,0.02585408091545105
56,8,0,0.0248158797621727
57,8,1,0.011006553657352924
58,8,2,0.04225841909646988
59,8,3,0.03146389126777649
60,8,4,0.025106653571128845
61,8,5,0.025548692792654037
62,8,6,0.025567682459950447
63,9,0,0.02604540064930916
64,9,1,0.01689489558339119
65,9,2,0.03425184637308121
66,9,3,0.0426013246178627
67,9,4,0.025807449594140053
68,9,5,0.025890113785862923
69,9,6,0.025421088561415672
70,10,0,0.023281624540686607
71,10,1,0.019634081050753593
72,10,2,0.028068937361240387
73,10,3,0.028286509215831757
74,10,4,0.025853822007775307
75,10,5,0.026005707681179047
76,10,6,0.025482404977083206
77,11,0,0.025419943034648895
78,11,1,0.022745657712221146
79,11,2,0.029835836961865425
80,11,3,0.029286369681358337
81,11,4,0.027108658105134964
82,11,5,0.025902731344103813
83,11,6,0.02403106726706028
84,12,0,0.026182131841778755
85,12,1,0.02445778250694275
86,12,2,0.02973230928182602
87,12,3,0.03154803439974785
88,12,4,0.02965278923511505
89,12,5,0.026099644601345062
90,12,6,0.023867882788181305
91,13,0,0.02611192874610424
92,13,1,0.025250492617487907
93,13,2,0.02654576301574707
94,13,3,0.028559817001223564
95,13,4,0.030421651899814606
96,13,5,0.026670843362808228
97,13,6,0.026040930300951004
98,14,0,0.026151325553655624
99,14,1,0.02472367137670517
100,14,2,0.02484774775803089
101,14,3,0.026600582525134087
102,14,4,0.030751630663871765
103,14,5,0.027709411457180977
104,14,6,0.02701891027390957
105,15,0,0.026158099994063377
106,15,1,0.025215303525328636
107,15,2,0.025060556828975677
108,15,3,0.026832064613699913
109,15,4,0.030626263469457626
110,15,5,0.028257614001631737
111,15,6,0.028188390657305717
112,16,0,0.0261521115899086
113,16,1,0.025804130360484123
114,16,2,0.02658185176551342
115,16,3,0.02802957221865654
116,16,4,0.03139954060316086
117,16,5,0.02868593856692314
118,16,6,0.02834188938140869
119,17,0,0.02615237794816494
120,17,1,0.025404933840036392
121,17,2,0.025699131190776825
122,17,3,0.02755011059343815
123,17,4,0.03328230604529381
124,17,5,0.029855983331799507
125,17,6,0.030765017494559288
126,18,0,0.02615673653781414
127,18,1,0.02517862431704998
128,18,2,0.0267682783305645
129,18,3,0.02721640095114708
130,18,4,0.03276178985834122
131,18,5,0.030094753950834274
132,18,6,0.03359302505850792
133,19,0,0.026159565895795822
134,19,1,0.025601601228117943
135,19,2,0.026562944054603577
136,19,3,0.026199420914053917
137,19,4,0.032991278916597366
138,19,5,0.03023441880941391
139,19,6,0.03504449874162674
140,20,0,0.026164524257183075
141,20,1,0.02604258432984352
142,20,2,0.026727164164185524
143,20,3,0.026765113696455956
144,20,4,0.034141190350055695
145,20,5,0.031424909830093384
146,20,6,0.052138619124889374
147,21,0,0.02616959996521473
148,21,1,0.025792255997657776
149,21,2,0.027635958045721054
150,21,3,0.02728275954723358
151,21,4,0.034199703484773636
152,21,5,0.031429413706064224
153,21,6,0.05399442836642265
154,22,0,0.026167500764131546
155,22,1,0.02573382668197155
156,22,2,0.026623401790857315
157,22,3,0.027263948693871498
158,22,4,0.0323060043156147
159,22,5,0.0314609557390213
160,22,6,0.06414870917797089
161,23,0,0.026166696101427078
162,23,1,0.026087146252393723
163,23,2,0.027036989107728004
164,23,3,0.026945048943161964
165,23,4,0.02854360081255436
166,23,5,0.029594967141747475
167,23,6,0.06995733082294464
168,24,0,0.026180172339081764
169,24,1,0.026605945080518723
170,24,2,0.027213986963033676
171,24,3,0.02734290435910225
172,24,4,0.02793912962079048
173,24,5,0.029116520658135414
174,24,6,0.07976628839969635
175,25,0,0.026183100417256355
