,layer,pos,prob
0,0,0,0.04393024742603302
1,0,1,0.0318913608789444
2,0,2,0.04512743279337883
3,0,3,0.017912207171320915
4,0,4,0.020591670647263527
5,0,5,0.019231006503105164
6,0,6,0.019911233335733414
7,1,0,0.018137698993086815
8,1,1,0.026311254128813744
9,1,2,0.046312373131513596
10,1,3,0.01880212314426899
11,1,4,0.02091836929321289
12,1,5,0.019639726728200912
13,1,6,0.020977778360247612
14,2,0,0.01833907887339592
15,2,1,0.023653900250792503
16,2,2,0.04819628968834877
17,2,3,0.019307605922222137
18,2,4,0.020985132083296776
19,2,5,0.020108964294195175
20,2,6,0.021012885496020317
21,3,0,0.01838311366736889
22,3,1,0.02354676090180874
23,3,2,0.04771001264452934
24,3,3,0.019233400002121925
25,3,4,0.020686211064457893
26,3,5,0.019905531778931618
27,3,6,0.02234545908868313
28,4,0,0.018406521528959274
29,4,1,0.02158394455909729
30,4,2,0.04448537528514862
31,4,3,0.01937280222773552
32,4,4,0.020497100427746773
33,4,5,0.019371796399354935
34,4,6,0.023521587252616882
35,5,0,0.018318291753530502
36,5,1,0.021066319197416306
37,5,2,0.039393771439790726
38,5,3,0.019406352192163467
39,5,4,0.02032337337732315
40,5,5,0.01979881152510643
41,5,6,0.025177428498864174
42,6,0,0.018337005749344826
43,6,1,0.019998984411358833
44,6,2,0.03754724934697151
45,6,3,0.01949327066540718
46,6,4,0.020990774035453796
47,6,5,0.019618242979049683
48,6,6,0.02640189602971077
49,7,0,0.01833278499543667
50,7,1,0.01983541063964367
51,7,2,0.035159237682819366
52,7,3,0.01925402320921421
53,7,4,0.02074691466987133
54,7,5,0.01939370110630989
55,7,6,0.027114901691675186
56,8,0,0.01839565299451351
57,8,1,0.01989118568599224
58,8,2,0.034368690103292465
59,8,3,0.01918688789010048
60,8,4,0.02029225416481495
61,8,5,0.019786575809121132
62,8,6,0.02726190723478794
63,9,0,0.018468771129846573
64,9,1,0.019238611683249474
65,9,2,0.02661740593612194
66,9,3,0.018910925835371017
67,9,4,0.020047340542078018
68,9,5,0.019646242260932922
69,9,6,0.04449647665023804
70,10,0,0.018548952415585518
71,10,1,0.01901761256158352
72,10,2,0.021060761064291
73,10,3,0.018565334379673004
74,10,4,0.020077191293239594
75,10,5,0.019591428339481354
76,10,6,0.05647357180714607
77,11,0,0.018518976867198944
78,11,1,0.018518976867198944
79,11,2,0.018518976867198944
80,11,3,0.018518976867198944
81,11,4,0.018518976867198944
82,11,5,0.018518976867198944
83,11,6,0.08052381873130798
