,layer,pos,prob
0,0,0,0.024242553859949112
1,0,1,0.03770923614501953
2,0,2,0.025047730654478073
3,0,3,0.0246715247631073
4,0,4,0.02569841779768467
5,0,5,0.025574322789907455
6,0,6,0.025634093210101128
7,1,0,0.024307897314429283
8,1,1,0.03909517824649811
9,1,2,0.025020357221364975
10,1,3,0.023185551166534424
11,1,4,0.025718949735164642
12,1,5,0.025633670389652252
13,1,6,0.026048243045806885
14,2,0,0.02451944723725319
15,2,1,0.040469471365213394
16,2,2,0.024936243891716003
17,2,3,0.022304901853203773
18,2,4,0.025556443259119987
19,2,5,0.02544553205370903
20,2,6,0.025728734210133553
21,3,0,0.024537742137908936
22,3,1,0.03946208208799362
23,3,2,0.024952678009867668
24,3,3,0.022512972354888916
25,3,4,0.025855107232928276
26,3,5,0.026242032647132874
27,3,6,0.026604555547237396
28,4,0,0.024555914103984833
29,4,1,0.03954962268471718
30,4,2,0.025306791067123413
31,4,3,0.023467957973480225
32,4,4,0.025364847853779793
33,4,5,0.026144234463572502
34,4,6,0.026186920702457428
35,5,0,0.024555716663599014
36,5,1,0.04065155237913132
37,5,2,0.02517232485115528
38,5,3,0.02511366829276085
39,5,4,0.02499246411025524
40,5,5,0.026437200605869293
41,5,6,0.026031823828816414
42,6,0,0.027316926047205925
43,6,1,0.03593132644891739
44,6,2,0.03014480695128441
45,6,3,0.02645495906472206
46,6,4,0.025192055851221085
47,6,5,0.026501627638936043
48,6,6,0.02641999162733555
49,7,0,0.018719905987381935
50,7,1,0.030353495851159096
51,7,2,0.02521190419793129
52,7,3,0.027576124295592308
53,7,4,0.025404656305909157
54,7,5,0.026820888742804527
55,7,6,0.027213362976908684
56,8,0,0.020798001438379288
57,8,1,0.029093248769640923
58,8,2,0.026949550956487656
59,8,3,0.030618708580732346
60,8,4,0.02478458173573017
61,8,5,0.026634488254785538
62,8,6,0.026691675186157227
63,9,0,0.02391074411571026
64,9,1,0.029208719730377197
65,9,2,0.026888560503721237
66,9,3,0.04155512526631355
67,9,4,0.025069456547498703
68,9,5,0.026585020124912262
69,9,6,0.02771987020969391
70,10,0,0.02850322425365448
71,10,1,0.025154832750558853
72,10,2,0.034691426903009415
73,10,3,0.59732586145401
74,10,4,0.024924663826823235
75,10,5,0.02720673382282257
76,10,6,0.028405115008354187
77,11,0,0.028082070872187614
78,11,1,0.023705290630459785
79,11,2,0.03029780462384224
80,11,3,0.8354573845863342
81,11,4,0.027140460908412933
82,11,5,0.027704311534762383
83,11,6,0.027609091252088547
84,12,0,0.027186306193470955
85,12,1,0.021787209436297417
86,12,2,0.03074074164032936
87,12,3,0.9424049258232117
88,12,4,0.026744896546006203
89,12,5,0.02749316208064556
90,12,6,0.02732650376856327
91,13,0,0.026460818946361542
92,13,1,0.025917984545230865
93,13,2,0.031509190797805786
94,13,3,0.9811927080154419
95,13,4,0.027333302423357964
96,13,5,0.027492929250001907
97,13,6,0.027189120650291443
98,14,0,0.026403352618217468
99,14,1,0.02816464565694332
100,14,2,0.028496749699115753
101,14,3,0.980717122554779
102,14,4,0.02729005739092827
103,14,5,0.02717418223619461
104,14,6,0.024667542427778244
105,15,0,0.026362000033259392
106,15,1,0.028425564989447594
107,15,2,0.027103422209620476
108,15,3,0.9512773156166077
109,15,4,0.02854085899889469
110,15,5,0.02712610550224781
111,15,6,0.023656349629163742
112,16,0,0.026337621733546257
113,16,1,0.02918640337884426
114,16,2,0.026223530992865562
115,16,3,0.9088668823242188
116,16,4,0.028708601370453835
117,16,5,0.027381913736462593
118,16,6,0.021772678941488266
119,17,0,0.02629876509308815
120,17,1,0.029229430481791496
121,17,2,0.02662133052945137
122,17,3,0.9492026567459106
123,17,4,0.028422946110367775
124,17,5,0.02721668779850006
125,17,6,0.02002190612256527
126,18,0,0.026308955624699593
127,18,1,0.031000228598713875
128,18,2,0.02726154774427414
129,18,3,0.9348565340042114
130,18,4,0.027633091434836388
131,18,5,0.026644794270396233
132,18,6,0.02051655948162079
133,19,0,0.02627759613096714
134,19,1,0.030795225873589516
135,19,2,0.025859221816062927
136,19,3,0.8451688289642334
137,19,4,0.02797892689704895
138,19,5,0.02649608999490738
139,19,6,0.01868843473494053
140,20,0,0.0262889564037323
141,20,1,0.02752792276442051
142,20,2,0.02418391779065132
143,20,3,0.7897511720657349
144,20,4,0.028616253286600113
145,20,5,0.0260552279651165
146,20,6,0.01843325048685074
147,21,0,0.026272693648934364
148,21,1,0.02975091151893139
149,21,2,0.024681217968463898
150,21,3,0.5328278541564941
151,21,4,0.02672206610441208
152,21,5,0.025337325409054756
153,21,6,0.01945946179330349
154,22,0,0.026250112801790237
155,22,1,0.028158552944660187
156,22,2,0.023457376286387444
157,22,3,0.27367979288101196
158,22,4,0.02622235007584095
159,22,5,0.02575455605983734
160,22,6,0.018262775614857674
161,23,0,0.026227856054902077
162,23,1,0.026754112914204597
163,23,2,0.025326790288090706
164,23,3,0.10214344412088394
165,23,4,0.023863770067691803
166,23,5,0.025600498542189598
167,23,6,0.019198060035705566
